Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_200x132_high_241113_201755_v1,spinnaker,8,3.736,0.721,0.55,0.431,0.0
Synthetic_200x132_high_241113_201831_v1,spinnaker,8,4.543,0.783,0.653,0.537,0.0
Synthetic_200x132_high_241113_201908_v1,spinnaker,8,5.083,1.075,0.695,0.59,0.0
Synthetic_200x132_high_241113_201945_v1,spinnaker,8,5.521,0.96,0.784,0.641,0.0
Synthetic_178x119_high_241113_203211_v1,spinnaker,9,3.595,0.726,0.445,0.374,0.0
Synthetic_178x119_high_241113_203242_v1,spinnaker,8,3.954,0.898,0.54,0.451,0.0
Synthetic_178x119_high_241113_203314_v1,spinnaker,9,4.765,0.876,0.638,0.504,0.0
Synthetic_178x119_high_241113_203348_v1,spinnaker,8,5.17,1.2,0.7,0.566,0.0
Synthetic_178x119_high_241113_203420_v1,spinnaker,9,5.652,1.063,0.759,0.618,0.0
Synthetic_172x115_high_241113_203936_v1,spinnaker,8,3.395,0.691,0.453,0.398,0.0
Synthetic_172x115_high_241113_204007_v1,spinnaker,8,3.905,0.811,0.532,0.44,0.0
Synthetic_172x115_high_241113_204038_v1,spinnaker,8,4.485,0.86,0.643,0.512,0.0
Synthetic_172x115_high_241113_204109_v1,spinnaker,9,5.32,0.852,0.715,0.567,0.0
Synthetic_172x115_high_241113_204141_v1,spinnaker,8,5.801,1.069,0.793,0.641,0.0
Synthetic_166x112_high_241113_204701_v1,spinnaker,8,3.248,0.789,0.453,0.372,0.0
Synthetic_166x112_high_241113_204732_v1,spinnaker,8,3.596,0.784,0.519,0.431,0.01
Synthetic_166x112_high_241113_204803_v1,spinnaker,9,4.652,0.838,0.628,0.502,0.0
Synthetic_166x112_high_241113_204834_v1,spinnaker,8,4.928,0.903,0.712,0.573,0.0
Synthetic_166x112_high_241113_204904_v1,spinnaker,8,5.919,1.38,0.803,0.626,0.0
Synthetic_160x108_high_241113_205427_v1,spinnaker,9,3.818,1.254,0.423,0.358,0.0
Synthetic_153x104_high_241113_210152_v1,spinnaker,8,3.391,0.867,0.452,0.379,0.0
Synthetic_146x100_high_241113_210917_v1,spinnaker,9,3.732,1.005,0.46,0.364,0.0
Synthetic_146x100_high_241113_210947_v1,spinnaker,9,4.167,1.11,0.558,0.442,0.0
Synthetic_146x100_high_241113_211019_v1,spinnaker,8,4.484,0.997,0.62,0.497,0.0
Synthetic_146x100_high_241113_211050_v1,spinnaker,9,5.421,1.168,0.74,0.574,0.0
Synthetic_146x100_high_241113_211120_v1,spinnaker,8,5.862,1.534,0.787,0.619,0.0
Synthetic_139x96_high_241113_211642_v1,spinnaker,8,3.544,1.161,0.436,0.367,0.01
Synthetic_139x96_high_241113_211714_v1,spinnaker,8,4.222,1.21,0.561,0.442,0.0
Synthetic_139x96_high_241113_211744_v1,spinnaker,8,4.763,1.364,0.616,0.488,0.0
Synthetic_139x96_high_241113_211815_v1,spinnaker,9,5.373,1.289,0.671,0.544,0.0
Synthetic_139x96_high_241113_211846_v1,spinnaker,9,6.066,1.362,0.798,0.633,0.0
Synthetic_131x91_high_241113_212407_v1,spinnaker,8,3.618,1.131,0.458,0.374,0.0
Synthetic_131x91_high_241113_212439_v1,spinnaker,8,4.068,1.337,0.496,0.427,0.0
Synthetic_131x91_high_241113_212510_v1,spinnaker,8,4.639,1.153,0.621,0.497,0.0
