Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_high_241013_163820_v2,spinnaker,8,4.307,0.721,0.574,0.51,0.0
Synthetic_high_241013_163820_v2,gpu,19,9.561,1.473,0.546,0.495,0.0
Synthetic_high_241013_163820_v3,spinnaker,8,4.368,0.75,0.549,0.502,0.0
Synthetic_high_241013_163820_v3,gpu,19,9.449,1.463,0.559,0.495,0.0
Synthetic_high_241013_163820_v4,spinnaker,9,4.752,1.077,0.538,0.481,0.0
Synthetic_high_241013_163820_v4,gpu,19,9.903,1.534,0.571,0.513,0.0
Synthetic_high_241013_163820_v5,spinnaker,8,4.332,0.726,0.552,0.496,0.0
Synthetic_high_241013_163820_v5,gpu,19,9.445,1.481,0.536,0.495,0.0
Synthetic_high_241013_163820_v6,spinnaker,8,4.076,0.695,0.548,0.492,0.0
Synthetic_high_241013_163820_v6,gpu,19,9.424,1.453,0.531,0.488,0.0
Synthetic_high_241013_163820_v7,spinnaker,8,4.246,0.698,0.537,0.491,0.0
Synthetic_high_241013_163820_v7,gpu,19,9.812,1.498,0.567,0.503,0.0
Synthetic_high_241013_163820_v8,spinnaker,8,4.283,0.761,0.538,0.496,0.0
Synthetic_high_241013_163820_v8,gpu,19,9.279,1.454,0.544,0.483,0.0
Synthetic_high_241013_163820_v9,spinnaker,9,4.592,0.937,0.538,0.492,0.0
Synthetic_high_241013_163820_v9,gpu,19,9.638,1.486,0.564,0.5,0.0
Synthetic_high_241013_163820_v10,spinnaker,9,4.597,0.647,0.552,0.507,0.0
Synthetic_high_241013_163820_v10,gpu,19,9.571,1.496,0.563,0.501,0.0
Synthetic_high_241013_164657_v1,spinnaker,8,4.525,0.726,0.578,0.522,0.0
Synthetic_high_241013_164657_v1,gpu,19,10.351,1.62,0.607,0.542,0.0
Synthetic_high_241013_164657_v2,spinnaker,9,4.827,0.707,0.58,0.509,0.0
Synthetic_high_241013_164657_v2,gpu,19,10.204,1.595,0.579,0.528,0.0
Synthetic_high_241013_164657_v3,spinnaker,9,4.751,0.735,0.583,0.539,0.0
Synthetic_high_241013_164657_v3,gpu,19,10.167,1.581,0.592,0.533,0.0
Synthetic_high_241013_164657_v4,spinnaker,8,4.733,0.974,0.608,0.523,0.0
Synthetic_high_241013_164657_v4,gpu,19,10.116,1.549,0.622,0.526,0.0
Synthetic_high_241013_164657_v5,spinnaker,9,4.778,0.674,0.586,0.534,0.0
Synthetic_high_241013_164657_v5,gpu,19,10.169,1.563,0.584,0.528,0.0
Synthetic_high_241013_164657_v6,spinnaker,9,4.949,0.696,0.603,0.543,0.0
Synthetic_high_241013_164657_v6,gpu,19,9.917,1.556,0.562,0.52,0.0
Synthetic_high_241013_164657_v7,spinnaker,8,4.321,0.677,0.564,0.497,0.0
Synthetic_high_241013_164657_v7,gpu,19,10.382,1.606,0.605,0.537,0.0
Synthetic_high_241013_164657_v8,spinnaker,9,4.855,0.842,0.618,0.525,0.0
Synthetic_high_241013_164657_v8,gpu,19,10.26,1.589,0.613,0.528,0.0
Synthetic_high_241013_164657_v9,spinnaker,8,4.646,0.97,0.572,0.521,0.0
