Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_180819_v2,spinnaker,11,3.696,2.006,0.71,0.245,0.1475
Recording_mixed_241029_180819_v2,gpu,20,6.114,2.473,0.709,0.246,0.17
Recording_mixed_241029_180819_v3,spinnaker,10,3.535,2.033,0.71,0.245,0.147
Recording_mixed_241029_180819_v3,gpu,20,6.207,2.577,0.707,0.245,0.176
Recording_mixed_241029_180819_v4,spinnaker,11,3.627,2.01,0.706,0.245,0.147
Recording_mixed_241029_180819_v4,gpu,21,6.138,2.462,0.709,0.245,0.173
Recording_mixed_241029_180819_v5,spinnaker,11,3.851,2.28,0.706,0.245,0.151
Recording_mixed_241029_180819_v5,gpu,21,5.902,2.248,0.711,0.245,0.16
Recording_mixed_241029_181329_v1,spinnaker,9,2.79,1.447,0.466,0.258,0.0255
Recording_mixed_241029_181329_v1,gpu,18,4.505,0.982,0.467,0.257,0.039
Recording_mixed_241029_181329_v2,spinnaker,9,2.636,1.189,0.47,0.258,0.025
Recording_mixed_241029_181329_v2,gpu,18,4.623,1.061,0.467,0.258,0.0535
Recording_mixed_241029_181329_v3,spinnaker,8,2.491,1.258,0.467,0.259,0.0255
Recording_mixed_241029_181329_v3,gpu,18,4.622,1.091,0.464,0.257,0.0535
Recording_mixed_241029_181329_v4,spinnaker,8,2.485,1.153,0.465,0.259,0.026
Recording_mixed_241029_181329_v4,gpu,19,4.699,1.152,0.465,0.257,0.0575
Recording_mixed_241029_181329_v5,spinnaker,9,2.635,1.201,0.468,0.258,0.0255
Recording_mixed_241029_181329_v5,gpu,19,4.585,1.011,0.464,0.257,0.0395
Recording_mixed_241029_180625_v1,spinnaker,8,2.379,1.018,0.461,0.249,0.025
Recording_mixed_241029_180625_v1,gpu,19,4.742,1.13,0.462,0.249,0.029
Recording_mixed_241029_180625_v2,spinnaker,9,2.417,0.985,0.463,0.249,0.0255
Recording_mixed_241029_180625_v2,gpu,19,4.777,1.095,0.461,0.249,0.0295
Recording_mixed_241029_180625_v3,spinnaker,9,2.516,0.979,0.462,0.249,0.025
Recording_mixed_241029_180625_v3,gpu,19,4.793,1.152,0.523,0.256,0.029
Recording_mixed_241029_180625_v4,spinnaker,9,2.465,1.022,0.463,0.249,0.025
Recording_mixed_241029_180625_v4,gpu,19,4.771,1.173,0.462,0.249,0.0295
Recording_mixed_241029_180625_v5,spinnaker,9,2.416,0.99,0.46,0.249,0.0255
Recording_mixed_241029_180625_v5,gpu,18,4.708,1.169,0.523,0.256,0.029
Recording_mixed_241029_180416_v1,spinnaker,10,2.837,1.645,0.48,0.18,0.1485
Recording_mixed_241029_180416_v1,gpu,20,6.775,4.047,0.48,0.176,0.236
Recording_mixed_241029_180416_v2,spinnaker,10,2.653,1.445,0.479,0.175,0.146
Recording_mixed_241029_180416_v2,gpu,20,6.228,3.478,0.48,0.176,0.2275
Recording_mixed_241029_180416_v3,spinnaker,10,2.658,1.495,0.479,0.176,0.147
Recording_mixed_241029_180416_v3,gpu,20,7.004,4.197,0.478,0.18,0.237
Recording_mixed_241029_180416_v4,spinnaker,10,2.936,1.751,0.478,0.18,0.1465
Recording_mixed_241029_180416_v4,gpu,20,6.5,3.694,0.478,0.18,0.2315
Recording_mixed_241029_180416_v5,spinnaker,10,2.621,1.482,0.48,0.175,0.14
Recording_mixed_241029_180416_v5,gpu,20,7.223,4.32,0.478,0.18,0.249
Recording_mixed_241029_181337_v1,spinnaker,10,3.81,2.035,0.578,0.268,0.0
Recording_mixed_241029_181337_v1,gpu,19,5.231,1.227,0.58,0.268,0.005
Recording_mixed_241029_181337_v2,spinnaker,10,3.742,1.876,0.578,0.267,0.0
Recording_mixed_241029_181337_v2,gpu,19,5.07,1.11,0.578,0.268,0.005
Recording_mixed_241029_181337_v3,spinnaker,11,3.844,1.986,0.579,0.267,0.0
Recording_mixed_241029_181337_v3,gpu,19,5.22,1.195,0.581,0.268,0.005
Recording_mixed_241029_181337_v4,spinnaker,11,3.989,2.011,0.578,0.268,0.0
Recording_mixed_241029_181337_v4,gpu,19,5.235,1.241,0.58,0.268,0.01
Recording_mixed_241029_181337_v5,spinnaker,10,3.789,1.983,0.577,0.268,0.0025
Recording_mixed_241029_181337_v5,gpu,19,5.17,1.202,0.578,0.267,0.01
Recording_mixed_241029_180545_v1,spinnaker,9,2.621,1.181,0.466,0.228,0.0
Recording_mixed_241029_180545_v1,gpu,19,4.706,1.451,0.466,0.227,0.024
Recording_mixed_241029_180545_v2,spinnaker,9,2.493,1.234,0.466,0.227,0.0085
Recording_mixed_241029_180545_v2,gpu,19,4.666,1.482,0.467,0.228,0.025
Recording_mixed_241029_180545_v3,spinnaker,9,2.577,1.225,0.465,0.228,0.0
