Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1025.0,1025.0,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.0,2.0,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,186078.5,186078.5,0.9,torch.cuda.set_device(gpu_index)
309,1,30.3,30.3,0.0,"device = torch.device(""cuda"")"
311,1,18.1,18.1,0.0,torch.set_float32_matmul_precision('high')
313,1,21.5,21.5,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,107.2,107.2,0.0,size_gb = get_model_size(model)
319,1,14.5,14.5,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.6,0.6,0.0,res_y = args.length
323,1,0.4,0.4,0.0,res_x = args.width
327,1,35.3,35.3,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,52.9,52.9,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,9.6,9.6,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.3,1.3,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,45.6,45.6,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,39.8,19.9,0.0,with torch.inference_mode():
341,2,203.6,101.8,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,571.1,0.3,0.0,while True:
345,2000,34370.0,17.2,0.2,reading = stream1.read()
347,2000,103539.4,51.8,0.5,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,73036.2,36.5,0.3,device_input_data = reshaped_data.to(device)
350,2000,3455816.0,1727.9,16.5,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,8583780.1,4291.9,41.0,torch.cuda.synchronize()
353,2000,84622.8,42.3,0.4,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,30191.4,15.1,0.1,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27695.5,13.8,0.1,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,8126.8,4.1,0.0,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,43765.6,21.9,0.2,frame = black.copy()
361,2000,207662.3,103.8,1.0,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,800748.7,400.4,3.8,nonzero_indices = np.nonzero(frame)
365,2000,1340.0,0.7,0.0,if len(nonzero_indices[0]) > 0:
371,2000,3158.5,1.6,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,2002.1,1.0,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,12889.8,6.4,0.1,idx_x = np.where(out_x>0.5)
375,2000,4864.6,2.4,0.0,idx_y = np.where(out_y>0.5)
378,2000,268.6,0.1,0.0,try:
379,2000,876.3,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1100.3,0.6,0.0,y_norm = x_coord/res_x*100
387,2000,448.7,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,4221.4,2.1,0.0,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,22204.5,11.1,0.1,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,657.1,0.3,0.0,if args.profiler:
394,2000,516.8,0.3,0.0,pass_counter += 1
395,2000,476.4,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,37.4,37.4,0.0,sock.close()
