Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1026.2,1026.2,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.1,2.1,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,188131.5,188131.5,4.5,torch.cuda.set_device(gpu_index)
309,1,28.2,28.2,0.0,"device = torch.device(""cuda"")"
311,1,19.1,19.1,0.0,torch.set_float32_matmul_precision('high')
313,1,22.3,22.3,0.0,print(f'Creating Model for {args.length}x{args.width} input')
316,1,216821.9,216821.9,5.2,"model = ControlNet(args.width, args.length, args.mode).to(device)"
318,1,137.7,137.7,0.0,size_gb = get_model_size(model)
319,1,14.6,14.6,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.8,0.8,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,15.2,15.2,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,2.4,2.4,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,11.3,11.3,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.5,0.5,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.1,1.1,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,57.8,57.8,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,40.3,20.2,0.0,with torch.inference_mode():
341,2,107.3,53.6,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,535.3,0.3,0.0,while True:
345,2000,18471.5,9.2,0.4,reading = stream1.read()
347,2000,34204.8,17.1,0.8,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,38730.6,19.4,0.9,device_input_data = reshaped_data.to(device)
350,2000,3298505.9,1649.3,79.5,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,41662.5,20.8,1.0,torch.cuda.synchronize()
353,2000,54538.4,27.3,1.3,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29255.0,14.6,0.7,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27156.6,13.6,0.7,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7514.1,3.8,0.2,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,10970.0,5.5,0.3,frame = black.copy()
361,2000,19932.9,10.0,0.5,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,109611.8,54.8,2.6,nonzero_indices = np.nonzero(frame)
365,2000,1111.9,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2111.6,1.1,0.1,"frame[0:res_y,res_x,0] = out_y"
372,2000,1551.0,0.8,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11791.8,5.9,0.3,idx_x = np.where(out_x>0.5)
375,2000,4739.4,2.4,0.1,idx_y = np.where(out_y>0.5)
378,2000,265.0,0.1,0.0,try:
379,2000,763.6,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,976.2,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,355.5,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,5707.6,2.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21289.6,10.6,0.5,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,688.6,0.3,0.0,if args.profiler:
394,2000,534.6,0.3,0.0,pass_counter += 1
395,2000,473.8,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,29.1,29.1,0.0,sock.close()
