Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1010.7,1010.7,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.0,2.0,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,196113.7,196113.7,1.2,torch.cuda.set_device(gpu_index)
309,1,24.2,24.2,0.0,"device = torch.device(""cuda"")"
311,1,18.3,18.3,0.0,torch.set_float32_matmul_precision('high')
313,1,19.7,19.7,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,126.9,126.9,0.0,size_gb = get_model_size(model)
319,1,14.3,14.3,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,1.0,1.0,0.0,res_y = args.length
323,1,0.2,0.2,0.0,res_x = args.width
327,1,36.3,36.3,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,59.1,59.1,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,10.9,10.9,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.9,0.9,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.1,1.1,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,44.4,44.4,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,37.5,18.7,0.0,with torch.inference_mode():
341,2,151.4,75.7,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,534.7,0.3,0.0,while True:
345,2000,22222.9,11.1,0.1,reading = stream1.read()
347,2000,42101.5,21.1,0.3,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,68391.7,34.2,0.4,device_input_data = reshaped_data.to(device)
350,2000,3359516.8,1679.8,21.3,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,5769356.0,2884.7,36.6,torch.cuda.synchronize()
353,2000,76795.2,38.4,0.5,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29731.2,14.9,0.2,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27268.6,13.6,0.2,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7851.9,3.9,0.0,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,34398.8,17.2,0.2,frame = black.copy()
361,2000,159153.2,79.6,1.0,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,652491.6,326.2,4.1,nonzero_indices = np.nonzero(frame)
365,2000,1353.4,0.7,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2979.0,1.5,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1932.9,1.0,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,12303.6,6.2,0.1,idx_x = np.where(out_x>0.5)
375,2000,4824.8,2.4,0.0,idx_y = np.where(out_y>0.5)
378,2000,319.8,0.2,0.0,try:
379,2000,855.6,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1028.9,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,374.0,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,5962.0,3.0,0.0,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,19828.1,9.9,0.1,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,604.0,0.3,0.0,if args.profiler:
394,2000,511.8,0.3,0.0,pass_counter += 1
395,2000,453.7,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,33.0,33.0,0.0,sock.close()
