Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1008.6,1008.6,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.5,2.5,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,192465.3,192465.3,2.2,torch.cuda.set_device(gpu_index)
309,1,31.3,31.3,0.0,"device = torch.device(""cuda"")"
311,1,18.1,18.1,0.0,torch.set_float32_matmul_precision('high')
313,1,19.5,19.5,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,115.4,115.4,0.0,size_gb = get_model_size(model)
319,1,15.2,15.2,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.8,0.8,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,39.8,39.8,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,56.6,56.6,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,12.1,12.1,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.5,0.5,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.5,1.5,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,46.2,46.2,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,38.1,19.0,0.0,with torch.inference_mode():
341,2,105.5,52.8,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,504.4,0.3,0.0,while True:
345,2000,19892.5,9.9,0.2,reading = stream1.read()
347,2000,38369.3,19.2,0.4,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,57760.4,28.9,0.6,device_input_data = reshaped_data.to(device)
350,2000,3359136.7,1679.6,37.7,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,1951277.6,975.6,21.9,torch.cuda.synchronize()
353,2000,68650.7,34.3,0.8,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29417.9,14.7,0.3,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27542.6,13.8,0.3,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7690.4,3.8,0.1,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,25183.1,12.6,0.3,frame = black.copy()
361,2000,83743.5,41.9,0.9,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,435168.2,217.6,4.9,nonzero_indices = np.nonzero(frame)
365,2000,1235.0,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2806.5,1.4,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1883.3,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,12106.5,6.1,0.1,idx_x = np.where(out_x>0.5)
375,2000,4851.6,2.4,0.1,idx_y = np.where(out_y>0.5)
378,2000,268.3,0.1,0.0,try:
379,2000,789.6,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1015.4,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,362.8,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,4086.9,2.0,0.0,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,19578.2,9.8,0.2,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,640.0,0.3,0.0,if args.profiler:
394,2000,505.5,0.3,0.0,pass_counter += 1
395,2000,449.6,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,27.0,27.0,0.0,sock.close()
