Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1024.0,1024.0,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.0,2.0,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,185403.7,185403.7,3.4,torch.cuda.set_device(gpu_index)
309,1,28.4,28.4,0.0,"device = torch.device(""cuda"")"
311,1,21.5,21.5,0.0,torch.set_float32_matmul_precision('high')
313,1,20.7,20.7,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,111.7,111.7,0.0,size_gb = get_model_size(model)
319,1,18.7,18.7,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.6,0.6,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,36.4,36.4,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,55.5,55.5,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,10.8,10.8,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.3,1.3,0.0,x_coord = int(res_x/2)
334,1,0.3,0.3,0.0,y_coord = int(res_y)
336,1,48.7,48.7,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,37.4,18.7,0.0,with torch.inference_mode():
341,2,121.2,60.6,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,511.8,0.3,0.0,while True:
345,2000,19259.5,9.6,0.4,reading = stream1.read()
347,2000,36480.1,18.2,0.7,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,45799.5,22.9,0.8,device_input_data = reshaped_data.to(device)
350,2000,3373238.8,1686.6,61.6,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,78419.5,39.2,1.4,torch.cuda.synchronize()
353,2000,60963.5,30.5,1.1,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29450.0,14.7,0.5,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,26980.9,13.5,0.5,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7803.6,3.9,0.1,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,18466.2,9.2,0.3,frame = black.copy()
361,2000,69295.4,34.6,1.3,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,295526.8,147.8,5.4,nonzero_indices = np.nonzero(frame)
365,2000,1119.1,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2515.5,1.3,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1765.5,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11748.1,5.9,0.2,idx_x = np.where(out_x>0.5)
375,2000,4698.2,2.3,0.1,idx_y = np.where(out_y>0.5)
378,2000,284.5,0.1,0.0,try:
379,2000,800.9,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,951.5,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,378.2,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,5766.6,2.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21203.1,10.6,0.4,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,593.7,0.3,0.0,if args.profiler:
394,2000,487.9,0.2,0.0,pass_counter += 1
395,2000,463.9,0.2,0.0,if pass_counter == 2000:
396,1,0.1,0.1,0.0,break
399,1,24.4,24.4,0.0,sock.close()
