Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1008.5,1008.5,0.0,args = parse_args()
304,1,0.3,0.3,0.0,if args.profiler:
305,1,2.3,2.3,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,186461.0,186461.0,1.8,torch.cuda.set_device(gpu_index)
309,1,25.9,25.9,0.0,"device = torch.device(""cuda"")"
311,1,21.8,21.8,0.0,torch.set_float32_matmul_precision('high')
313,1,15.6,15.6,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,116.3,116.3,0.0,size_gb = get_model_size(model)
319,1,14.3,14.3,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.6,0.6,0.0,res_y = args.length
323,1,3.9,3.9,0.0,res_x = args.width
327,1,27.1,27.1,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,54.3,54.3,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,10.4,10.4,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.1,1.1,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,45.0,45.0,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,44.5,22.2,0.0,with torch.inference_mode():
341,2,111.9,56.0,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,533.2,0.3,0.0,while True:
345,2000,20394.7,10.2,0.2,reading = stream1.read()
347,2000,38693.8,19.3,0.4,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,55833.3,27.9,0.5,device_input_data = reshaped_data.to(device)
350,2000,3360874.3,1680.4,31.7,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,2900580.6,1450.3,27.4,torch.cuda.synchronize()
353,2000,70007.7,35.0,0.7,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29272.1,14.6,0.3,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,26991.9,13.5,0.3,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7736.5,3.9,0.1,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,27303.5,13.7,0.3,frame = black.copy()
361,2000,92623.2,46.3,0.9,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,502271.8,251.1,4.7,nonzero_indices = np.nonzero(frame)
365,2000,1247.3,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2833.7,1.4,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1734.0,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,12037.4,6.0,0.1,idx_x = np.where(out_x>0.5)
375,2000,4659.4,2.3,0.0,idx_y = np.where(out_y>0.5)
378,2000,279.5,0.1,0.0,try:
379,2000,814.9,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1028.4,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,385.0,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,5717.8,2.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,19961.6,10.0,0.2,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,703.7,0.4,0.0,if args.profiler:
394,2000,530.8,0.3,0.0,pass_counter += 1
395,2000,420.0,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,29.6,29.6,0.0,sock.close()
