Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1035.6,1035.6,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.0,2.0,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,184587.9,184587.9,3.9,torch.cuda.set_device(gpu_index)
309,1,30.2,30.2,0.0,"device = torch.device(""cuda"")"
311,1,17.5,17.5,0.0,torch.set_float32_matmul_precision('high')
313,1,18.3,18.3,0.0,print(f'Creating Model for {args.length}x{args.width} input')
316,1,611965.7,611965.7,13.0,"model = ControlNet(args.width, args.length, args.mode).to(device)"
318,1,108.2,108.2,0.0,size_gb = get_model_size(model)
319,1,14.5,14.5,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.7,0.7,0.0,res_y = args.length
323,1,0.2,0.2,0.0,res_x = args.width
327,1,40.3,40.3,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,56.2,56.2,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,9.6,9.6,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.5,0.5,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.2,1.2,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,45.6,45.6,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,37.1,18.5,0.0,with torch.inference_mode():
341,2,118.8,59.4,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,555.3,0.3,0.0,while True:
345,2000,19127.1,9.6,0.4,reading = stream1.read()
347,2000,34742.9,17.4,0.7,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,42050.6,21.0,0.9,device_input_data = reshaped_data.to(device)
350,2000,3359745.7,1679.9,71.2,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,40900.6,20.5,0.9,torch.cuda.synchronize()
353,2000,58060.9,29.0,1.2,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29451.2,14.7,0.6,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27702.0,13.9,0.6,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7415.7,3.7,0.2,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,15306.9,7.7,0.3,frame = black.copy()
361,2000,39016.0,19.5,0.8,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,195994.5,98.0,4.2,nonzero_indices = np.nonzero(frame)
365,2000,1128.4,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2502.6,1.3,0.1,"frame[0:res_y,res_x,0] = out_y"
372,2000,1720.2,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11819.4,5.9,0.3,idx_x = np.where(out_x>0.5)
375,2000,4645.2,2.3,0.1,idx_y = np.where(out_y>0.5)
378,2000,244.1,0.1,0.0,try:
379,2000,746.7,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1077.1,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,353.4,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,3881.6,1.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,20883.9,10.4,0.4,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,599.9,0.3,0.0,if args.profiler:
394,2000,478.4,0.2,0.0,pass_counter += 1
395,2000,455.7,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,26.7,26.7,0.0,sock.close()
