Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1040.5,1040.5,0.0,args = parse_args()
304,1,0.3,0.3,0.0,if args.profiler:
305,1,2.3,2.3,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,189674.2,189674.2,3.7,torch.cuda.set_device(gpu_index)
309,1,29.6,29.6,0.0,"device = torch.device(""cuda"")"
311,1,18.4,18.4,0.0,torch.set_float32_matmul_precision('high')
313,1,19.3,19.3,0.0,print(f'Creating Model for {args.length}x{args.width} input')
316,1,963219.5,963219.5,18.7,"model = ControlNet(args.width, args.length, args.mode).to(device)"
318,1,110.8,110.8,0.0,size_gb = get_model_size(model)
319,1,16.2,16.2,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,1.2,1.2,0.0,res_y = args.length
323,1,2.4,2.4,0.0,res_x = args.width
327,1,42.9,42.9,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,58.5,58.5,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,9.6,9.6,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.7,1.7,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,45.1,45.1,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,45.2,22.6,0.0,with torch.inference_mode():
341,2,130.5,65.3,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,503.1,0.3,0.0,while True:
345,2000,18884.6,9.4,0.4,reading = stream1.read()
347,2000,35720.8,17.9,0.7,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,43902.0,22.0,0.9,device_input_data = reshaped_data.to(device)
350,2000,3364476.0,1682.2,65.4,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,41738.0,20.9,0.8,torch.cuda.synchronize()
353,2000,60624.5,30.3,1.2,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29102.8,14.6,0.6,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,26742.8,13.4,0.5,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7758.1,3.9,0.2,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,16836.2,8.4,0.3,frame = black.copy()
361,2000,38517.2,19.3,0.7,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,254425.3,127.2,4.9,nonzero_indices = np.nonzero(frame)
365,2000,1117.9,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2423.9,1.2,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1758.3,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11919.3,6.0,0.2,idx_x = np.where(out_x>0.5)
375,2000,4696.0,2.3,0.1,idx_y = np.where(out_y>0.5)
378,2000,270.0,0.1,0.0,try:
379,2000,768.7,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1068.9,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,391.0,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,3884.7,1.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21307.7,10.7,0.4,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,606.3,0.3,0.0,if args.profiler:
394,2000,494.5,0.2,0.0,pass_counter += 1
395,2000,445.3,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,25.5,25.5,0.0,sock.close()
