Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1014.8,1014.8,0.0,args = parse_args()
304,1,0.3,0.3,0.0,if args.profiler:
305,1,2.4,2.4,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,193919.5,193919.5,0.6,torch.cuda.set_device(gpu_index)
309,1,28.7,28.7,0.0,"device = torch.device(""cuda"")"
311,1,19.1,19.1,0.0,torch.set_float32_matmul_precision('high')
313,1,19.2,19.2,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,125.8,125.8,0.0,size_gb = get_model_size(model)
319,1,15.6,15.6,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.6,0.6,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,41.1,41.1,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,53.8,53.8,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,11.5,11.5,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.5,0.5,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.4,1.4,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,48.2,48.2,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,47.5,23.8,0.0,with torch.inference_mode():
341,2,107.2,53.6,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,552.8,0.3,0.0,while True:
345,2000,40477.5,20.2,0.1,reading = stream1.read()
347,2000,111726.6,55.9,0.4,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,82291.3,41.1,0.3,device_input_data = reshaped_data.to(device)
350,2000,3477575.3,1738.8,11.0,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,14888143.5,7444.1,47.0,torch.cuda.synchronize()
353,2000,93183.2,46.6,0.3,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,30071.4,15.0,0.1,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27480.7,13.7,0.1,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,8110.7,4.1,0.0,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,66352.4,33.2,0.2,frame = black.copy()
361,2000,118901.0,59.5,0.4,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,1000526.8,500.3,3.2,nonzero_indices = np.nonzero(frame)
365,2000,1307.9,0.7,0.0,if len(nonzero_indices[0]) > 0:
371,2000,3399.5,1.7,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,2043.5,1.0,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,12582.0,6.3,0.0,idx_x = np.where(out_x>0.5)
375,2000,4874.2,2.4,0.0,idx_y = np.where(out_y>0.5)
378,2000,275.5,0.1,0.0,try:
379,2000,846.4,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1066.0,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,353.3,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,6101.0,3.1,0.0,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21944.3,11.0,0.1,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,721.0,0.4,0.0,if args.profiler:
394,2000,529.7,0.3,0.0,pass_counter += 1
395,2000,411.9,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,31.2,31.2,0.0,sock.close()
