Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1026.0,1026.0,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.6,2.6,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,186495.8,186495.8,3.8,torch.cuda.set_device(gpu_index)
309,1,28.8,28.8,0.0,"device = torch.device(""cuda"")"
311,1,20.2,20.2,0.0,torch.set_float32_matmul_precision('high')
313,1,19.1,19.1,0.0,print(f'Creating Model for {args.length}x{args.width} input')
316,1,770481.4,770481.4,15.7,"model = ControlNet(args.width, args.length, args.mode).to(device)"
318,1,111.1,111.1,0.0,size_gb = get_model_size(model)
319,1,16.5,16.5,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.7,0.7,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,35.6,35.6,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,56.3,56.3,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,8.8,8.8,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.5,0.5,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.3,1.3,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,42.5,42.5,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,38.5,19.3,0.0,with torch.inference_mode():
341,2,100.6,50.3,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,499.7,0.2,0.0,while True:
345,2000,18998.5,9.5,0.4,reading = stream1.read()
347,2000,35843.7,17.9,0.7,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,42732.6,21.4,0.9,device_input_data = reshaped_data.to(device)
350,2000,3328439.7,1664.2,68.0,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,42238.1,21.1,0.9,torch.cuda.synchronize()
353,2000,58141.4,29.1,1.2,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29058.4,14.5,0.6,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,26973.6,13.5,0.6,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7492.4,3.7,0.2,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,16251.7,8.1,0.3,frame = black.copy()
361,2000,55376.4,27.7,1.1,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,222990.6,111.5,4.6,nonzero_indices = np.nonzero(frame)
365,2000,1069.6,0.5,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2476.3,1.2,0.1,"frame[0:res_y,res_x,0] = out_y"
372,2000,1753.5,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11933.2,6.0,0.2,idx_x = np.where(out_x>0.5)
375,2000,4803.2,2.4,0.1,idx_y = np.where(out_y>0.5)
378,2000,277.2,0.1,0.0,try:
379,2000,803.8,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,996.3,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,353.4,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,5803.2,2.9,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21131.5,10.6,0.4,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,631.5,0.3,0.0,if args.profiler:
394,2000,554.0,0.3,0.0,pass_counter += 1
395,2000,447.6,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,25.6,25.6,0.0,sock.close()
