Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1044.6,1044.6,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.2,2.2,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,185934.7,185934.7,2.8,torch.cuda.set_device(gpu_index)
309,1,30.7,30.7,0.0,"device = torch.device(""cuda"")"
311,1,20.9,20.9,0.0,torch.set_float32_matmul_precision('high')
313,1,19.7,19.7,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,118.4,118.4,0.0,size_gb = get_model_size(model)
319,1,14.4,14.4,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.8,0.8,0.0,res_y = args.length
323,1,0.9,0.9,0.0,res_x = args.width
327,1,26.0,26.0,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,55.6,55.6,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,11.2,11.2,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.2,1.2,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,42.6,42.6,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,44.7,22.4,0.0,with torch.inference_mode():
341,2,123.1,61.5,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,505.0,0.3,0.0,while True:
345,2000,19698.5,9.8,0.3,reading = stream1.read()
347,2000,37011.5,18.5,0.6,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,47862.9,23.9,0.7,device_input_data = reshaped_data.to(device)
350,2000,3336728.6,1668.4,50.2,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,749448.7,374.7,11.3,torch.cuda.synchronize()
353,2000,64371.2,32.2,1.0,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29501.6,14.8,0.4,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27253.7,13.6,0.4,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7668.2,3.8,0.1,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,20971.4,10.5,0.3,frame = black.copy()
361,2000,59401.2,29.7,0.9,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,355825.6,177.9,5.4,nonzero_indices = np.nonzero(frame)
365,2000,1178.8,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2719.9,1.4,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,1805.8,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11971.5,6.0,0.2,idx_x = np.where(out_x>0.5)
375,2000,4674.2,2.3,0.1,idx_y = np.where(out_y>0.5)
378,2000,290.9,0.1,0.0,try:
379,2000,834.9,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,980.8,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,355.2,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,3997.6,2.0,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21180.8,10.6,0.3,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,589.1,0.3,0.0,if args.profiler:
394,2000,524.2,0.3,0.0,pass_counter += 1
395,2000,448.0,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,26.6,26.6,0.0,sock.close()
