board_id,chip_id,processor_id,vertex,SDRAM
0,23,13,output,1125128
0,23,14,output,1125128
0,23,15,output,1125128
0,23,16,output,1125128
0,23,17,output,1125128
0,30,1,SYSTEM:ExtraMonitor,488476
0,30,2,output,1125128
0,30,3,output,1125128
0,30,4,output,1125128
0,30,5,output,1125128
0,30,6,output,1125128
0,30,7,output,1125128
0,30,8,output,1125128
0,30,9,output,1125128
0,30,10,output,1125128
0,30,11,output,1125128
0,30,12,output,1125128
0,30,13,output,1125128
0,30,14,output,1125128
0,30,15,output,1125128
0,30,16,output,1125128
0,30,17,output,1125128
0,37,1,SYSTEM:ExtraMonitor,488476
0,37,2,output,1125128
0,37,3,output,1125128
0,37,4,output,1125128
0,37,5,output,1125128
0,37,6,output,1125128
0,37,7,output,1125128
0,37,8,output,1125128
0,37,9,output,1125128
0,37,10,output,1125128
0,37,11,output,1125128
0,37,12,output,1125128
0,37,13,output,1125128
0,37,14,output,1125128
0,37,15,output,1125128
0,37,16,output,1125128
0,37,17,output,1125128
0,3,1,SYSTEM:ExtraMonitor,488476
0,3,2,output,1125128
0,3,3,output,1125128
0,3,4,output,1125128
0,3,5,output,1125128
0,3,6,output,1125128
0,3,7,output,1125128
0,3,8,output,1125128
0,3,9,output,1125128
0,3,10,output,1125128
0,3,11,output,1125128
0,3,12,output,1125128
0,3,13,output,1125128
0,3,14,output,1125128
0,3,15,output,1125128
0,3,16,output,1125128
0,3,17,output,1125128
0,10,1,SYSTEM:ExtraMonitor,488476
0,10,2,output,1125128
0,10,3,output,1125128
0,10,4,output,1125128
0,10,5,output,1125128
0,10,6,output,1125128
0,10,7,output,1125128
0,10,8,output,1125128
0,10,9,output,1125128
0,10,10,output,1125128
0,10,11,output,1125128
0,10,12,output,1125128
0,10,13,output,1125128
0,10,14,output,1125128
0,10,15,output,1125128
0,10,16,output,1125128
0,17,1,SYSTEM:ExtraMonitor,488476
0,17,2,output,1125128
0,17,3,output,1125128
0,17,4,output,1125128
0,17,5,output,1125128
0,17,6,output,1125128
0,17,7,output,1125128
0,17,8,output,1125128
0,17,9,output,1125128
0,17,10,output,1125128
0,17,11,output,1125128
0,17,12,output,1125128
0,17,13,output,1125128
0,17,14,output,1125128
0,17,15,output,1125128
0,17,16,output,1125128
0,17,17,output,1125128
0,24,1,SYSTEM:ExtraMonitor,488476
0,24,2,output,1125128
0,24,3,output,1125128
0,24,4,output,1125128
0,24,5,output,1125128
0,24,6,output,1125128
0,24,7,output,1125128
0,24,8,output,1125128
0,24,9,output,1125128
0,24,10,output,1125128
0,24,11,output,1125128
0,24,12,output,1125128
0,24,13,output,1125128
0,24,14,output,1125128
0,24,15,output,1125128
0,24,16,output,1125128
0,31,1,SYSTEM:ExtraMonitor,488476
0,31,2,output,1125128
0,31,3,output,1125128
0,31,4,output,1125128
0,31,5,output,1125128
0,31,6,output,1125128
0,31,7,output,1125128
0,31,8,output,1125128
0,31,9,output,1125128
0,31,10,output,1125128
0,31,11,output,1125128
0,31,12,output,1125128
0,31,13,output,1125128
0,31,14,output,1125128
0,31,15,output,1125128
0,31,16,output,1125128
0,31,17,output,1125128
0,38,1,SYSTEM:ExtraMonitor,488476
0,38,2,output,1125128
0,38,3,output,1125128
0,38,4,output,1125128
0,38,5,output,1125128
0,38,6,output,1125128
0,38,7,output,1125128
0,38,8,output,1125128
0,38,9,output,1125128
0,38,10,output,1125128
0,38,11,output,1125128
0,38,12,output,1125128
0,38,13,output,1125128
0,38,14,output,1125128
0,38,15,output,1125128
0,38,16,output,1125128
0,45,1,SYSTEM:ExtraMonitor,488476
0,4,1,SYSTEM:ExtraMonitor,488476
0,4,2,output,1125128
0,4,3,output,1125128
0,4,4,output,1125128
0,4,5,output,1125128
0,4,6,output,1125128
0,4,7,output,1125128
0,4,8,output,1125128
0,4,9,output,1125128
0,4,10,output,1125128
0,4,11,output,1125128
0,4,12,output,1125128
0,4,13,output,1125128
0,4,14,output,1125128
0,4,15,output,1125128
0,4,16,output,1125128
0,4,17,output,1125128
0,11,1,SYSTEM:ExtraMonitor,488476
0,11,2,output,1125128
0,11,3,output,1125128
0,11,4,output,1125128
0,11,5,output,1125128
0,11,6,output,1125128
0,11,7,output,1125128
0,11,8,output,1125128
0,11,9,output,1125128
0,11,10,output,1125128
0,11,11,output,1125128
0,11,12,output,1125128
0,11,13,output,1125128
0,11,14,output,1125128
0,11,15,output,1125128
0,11,16,output,1125128
0,11,17,output,1125128
0,18,1,SYSTEM:ExtraMonitor,488476
0,18,2,output,1125128
0,18,3,output,1125128
0,18,4,output,1125128
0,18,5,output,1125128
0,18,6,output,1125128
0,18,7,output,1125128
0,18,8,output,1125128
0,18,9,output,1125128
0,18,10,output,1125128
0,18,11,output,1125128
0,18,12,output,1125128
0,18,13,output,1125128
0,18,14,output,1125128
0,18,15,output,1125128
0,18,16,output,1125128
0,18,17,output,1125128
0,25,1,SYSTEM:ExtraMonitor,488476
0,25,2,output,1125128
0,25,3,output,1125128
0,25,4,output,1125128
0,25,5,output,1125128
0,25,6,output,1125128
0,25,7,output,1125128
0,25,8,output,1125128
0,25,9,output,1125128
0,25,10,output,1125128
0,25,11,output,1125128
0,25,12,output,1125128
0,25,13,output,1125128
0,25,14,output,1125128
0,25,15,output,1125128
0,25,16,output,1125128
0,25,17,output,1125128
0,32,1,SYSTEM:ExtraMonitor,488476
0,32,2,output,1125128
0,32,3,output,1125128
0,32,4,output,1125128
0,32,5,output,1125128
0,32,6,output,1125128
0,32,7,output,1125128
0,32,8,output,1125128
0,32,9,output,1125128
0,32,10,output,1125128
0,32,11,output,1125128
0,32,12,output,1125128
0,32,13,output,1125128
0,32,14,output,1125128
0,32,15,output,1125128
0,32,16,output,1125128
0,32,17,output,1125128
0,39,1,SYSTEM:ExtraMonitor,488476
0,39,2,output,1125128
0,39,3,output,1125128
0,39,4,output,1125128
0,39,5,output,1125128
0,39,6,output,1125128
0,39,7,output,1125128
0,39,8,output,1125128
0,39,9,output,1125128
0,39,10,output,1125128
0,39,11,output,1125128
0,39,12,output,1125128
0,39,13,output,1125128
0,39,14,output,1125128
0,39,15,output,1125128
0,39,16,output,1125128
0,39,17,output,1125128
0,46,1,SYSTEM:ExtraMonitor,488476
0,53,1,SYSTEM:ExtraMonitor,488476
0,12,1,SYSTEM:ExtraMonitor,488476
0,12,2,output,1125128
0,12,3,output,1125128
0,12,4,output,1125128
0,12,5,output,1125128
0,12,6,output,1125128
0,12,7,output,1125128
0,12,8,output,1125128
0,12,9,output,1125128
0,12,10,output,1125128
0,12,11,output,1125128
0,12,12,output,1125128
0,12,13,output,1125128
0,12,14,output,1125128
0,12,15,output,1125128
0,12,16,output,1125128
0,12,17,output,1125128
0,19,1,SYSTEM:ExtraMonitor,488476
0,19,2,output,1125128
0,19,3,output,1125128
0,19,4,output,1125128
0,19,5,output,1125128
0,19,6,output,1125128
0,19,7,output,1125128
0,19,8,output,1125128
0,19,9,output,1125128
0,19,10,output,1125128
0,19,11,output,1125128
0,19,12,output,1125128
0,19,13,output,1125128
0,19,14,output,1125128
0,19,15,output,1125128
0,19,16,output,1125128
0,26,1,SYSTEM:ExtraMonitor,488476
0,26,2,output,1125128
0,26,3,output,1125128
0,26,4,output,1125128
0,26,5,output,1125128
0,26,6,output,1125128
0,26,7,output,1125128
0,26,8,output,1125128
0,26,9,output,1125128
0,26,10,output,1125128
0,26,11,output,1125128
0,26,12,output,1125128
0,26,13,output,1125128
0,26,14,output,1125128
0,26,15,output,1125128
0,26,16,output,1125128
0,26,17,output,1125128
0,33,1,SYSTEM:ExtraMonitor,488476
0,33,2,output,1125128
0,33,3,output,1125128
0,33,4,output,1125128
0,33,5,output,1125128
0,33,6,output,1125128
0,33,7,output,1125128
0,33,8,output,1125128
0,33,9,output,1125128
0,33,10,output,1125128
0,33,11,output,1125128
0,33,12,output,1125128
0,33,13,output,1125128
0,33,14,output,1125128
0,33,15,output,1125128
0,33,16,output,1125128
0,40,1,SYSTEM:ExtraMonitor,488476
0,40,2,output,1125128
0,40,3,output,1125128
0,40,4,output,1125128
0,40,5,output,1125128
0,40,6,output,1125128
0,40,7,output,1125128
0,40,8,output,1125128
0,40,9,output,1125128
0,40,10,output,1125128
0,40,11,output,1125128
0,40,12,output,1125128
0,40,13,output,1125128
0,40,14,output,1125128
0,40,15,output,1125128
0,40,16,output,1125128
